"id","area","feature","user_story","expected_behavior","source","status","validation_notes","error_detail","last_validated"
"FEAT-0023","Auth","User Login","As a user, I want to authenticate with my username/password, so that I can access the platform securely.","User submits username and password; system verifies credentials against hashed password in database, updates last_login_at, returns JWT token valid for 24 hours with username and role embedded. Returns UnauthorizedError if credentials invalid or account disabled.","backend/routes/auth.py:login, backend/services/auth_service.py:authenticate_user","Validated","login → authenticate_user verifies bcrypt hash (UnauthorizedError on bad creds or disabled account), updates last_login_at; create_access_token embeds sub(username)+role with 24h expiry (JWT_EXPIRATION_HOURS=24).","","2026-06-22"
"FEAT-0024","Authentication & Access","Login Page","As a user, I want to authenticate with username and password, so that I can securely access the platform","Login form with username/password fields. Supports password change on first login. Brand panel with app info and floating animations.","pages/Login.tsx","Validated","Login.tsx has username/password form with zod validation, must_change_password flow swaps to ChangePasswordForm, and BrandPanel renders app info + animate-float-slow/medium/fast shapes.","","2026-06-22"
"FEAT-0025","Backup","Check Backup/Restore Status","As an operator, I want to check if a backup or restore operation is currently in progress, so that I don't start conflicting operations.","GET /api/system/backup/status returns in_progress boolean, operation (backup/restore), started_at, message.","system.py:get_backup_status, backup_service.py:get_backup_status","Validated","system.py:get_backup_status -> backup_service.get_backup_status reports in_progress/operation/started_at/message derived from maintenance status.","","2026-06-22"
"FEAT-0026","Backup","Create Backup","As an admin, I want to create a backup archive containing database dump and encryption key, so that I can restore if disaster strikes.","POST /api/system/backup with passphrase creates .tar.gz containing pg_dump (gzipped), wrapped encryption key, metadata; returns file download; audit logs backup metadata.","system.py:create_backup, backup_service.py:create_backup","Validated","backup_service.create_backup runs gzipped pg_dump, wraps Fernet key with passphrase, builds metadata, packages tar.gz and audit-logs; system.py:create_backup streams FileResponse.","","2026-06-22"
"FEAT-0027","Backup","Restore Backup","As an admin, I want to restore a backup archive, so that I can recover the database and encryption key after data loss.","POST /api/system/restore uploads .tar.gz, verifies passphrase unwraps key, enters maintenance mode (503), restores database, runs migrations, replaces encryption key, schedules backend restart.","system.py:restore_backup, backup_service.py:restore_backup","Validated","backup_service.restore_backup verifies passphrase, enters maintenance mode, restores DB, runs migrations, replaces key; system.py:restore_backup schedules os._exit restart post-response. 503 enforced by maintenance_middleware.","","2026-06-22"
"FEAT-0028","Bare Metal Deployments","Cancel deployment","As an operator, I want to stop an in-flight deployment, so that I can abort a failed run.","POST /bare-metal/deployments/{id}/cancel sets status to cancelled, revokes Celery task.","bare_metal_deployments.py:cancel_deployment, bare_metal/orchestrator.py:BareMetalDeploymentService.cancel_deployment","Validated","cancel_deployment (orchestrator.py:654) sets status=CANCELLED, stamps completed_at, and revokes the Celery task with terminate=True; route commits.","","2026-06-22"
"FEAT-0029","Bare Metal Deployments","Create deployment","As an operator, I want to start a bare-metal deployment to a host, so that I can provision DPU and K8s.","POST /bare-metal/deployments creates plan, enqueues Celery task, returns deployment with step states.","bare_metal_deployments.py:create_deployment, bare_metal/orchestrator.py:BareMetalDeploymentService.create_deployment","Validated","create_deployment builds plan from host topology and route create_deployment (bare_metal_deployments.py:45) enqueues execute_bare_metal_deployment.delay and returns deployment with step states.","","2026-06-22"
"FEAT-0030","Bare Metal Deployments","Get deployment status","As a viewer, I want to see a deployment's current status and all step results, so that I can monitor progress.","GET /bare-metal/deployments/{id} returns deployment with current_phase, current_step_index, all step results.","bare_metal_deployments.py:get_deployment, bare_metal/orchestrator.py:BareMetalDeploymentService.get_deployment","Validated","get_deployment + _deployment_to_response (bare_metal_deployments.py:184) return current_phase, current_step_index, and all sorted step results.","","2026-06-22"
"FEAT-0031","Bare Metal Deployments","Get deployment step logs","As a viewer, I want to download the output log from a deployment step, so that I can debug failures.","GET /bare-metal/deployments/{id}/steps/{index}/logs returns output_log, error_message, exit_code.","bare_metal_deployments.py:get_step_logs","Validated","get_step_logs (bare_metal_deployments.py:154) finds the step by index and returns output_log, error_message, exit_code (404 if index missing).","","2026-06-22"
"FEAT-0032","Bare Metal Deployments","List bare-metal deployments","As a viewer, I want to see all deployments for a project or host, so that I can track execution history.","GET /bare-metal/deployments returns list of BareMetalDeployment records with status, current phase, step count.","bare_metal_deployments.py:list_deployments, bare_metal/orchestrator.py:BareMetalDeploymentService.list_deployments","Validated","list_deployments returns BareMetalDeployment records mapped to responses with status, current_phase, and full step list.","","2026-06-22"
"FEAT-0033","Bare Metal Deployments","Preview deployment plan","As an operator, I want to see what steps will run before deploying, so that I can validate the plan.","POST /bare-metal/deployments/preview returns step plan with phase breakdown, prerequisites, and prerequisite warnings.","bare_metal_deployments.py:preview_deployment, bare_metal/orchestrator.py:BareMetalDeploymentService.preview_deployment","Validated","preview_deployment (orchestrator.py:786) returns per-step phase, prerequisites list, idempotent flag, and prerequisite_warnings via _validate_phase_prerequisites.","","2026-06-22"
"FEAT-0034","Bare Metal Deployments","Resume deployment","As an operator, I want to resume a failed deployment from a specific step, so that I can recover without re-running earlier steps.","POST /bare-metal/deployments/{id}/resume marks step as pending, re-enqueues Celery task.","bare_metal_deployments.py:resume_deployment, bare_metal/orchestrator.py:BareMetalDeploymentService.resume_deployment","Validated","resume_deployment (orchestrator.py:608) resets failed steps >= resume_from_step to PENDING; route resume_deployment re-dispatches execute_bare_metal_deployment.delay.","","2026-06-22"
"FEAT-0035","Bare Metal Hosts","Create bare-metal host","As an operator, I want to register a new bare-metal host, so that I can prepare it for deployment.","POST /bare-metal/hosts creates BareMetalHost with host_ip, topology, network_mode, optional BMC/IPMI credentials.","bare_metal_hosts.py:create_host, bare_metal/host_service.py:BareMetalHostService.create_host","Validated","create_host (host_service.py:45) persists host_ip/topology/network_mode and optionally encrypts BMC/IPMI credentials.","","2026-06-22"
"FEAT-0036","Bare Metal Hosts","Delete bare-metal host","As an operator, I want to remove a bare-metal host registration, so that I can clean up decommissioned hardware.","DELETE /bare-metal/hosts/{id} removes the BareMetalHost record.","bare_metal_hosts.py:delete_host, bare_metal/host_service.py:BareMetalHostService.delete_host","Validated","delete_host (host_service.py:121) removes the project-scoped BareMetalHost record; route commits.","","2026-06-22"
"FEAT-0037","Bare Metal Hosts","Get bare-metal host","As a viewer, I want to inspect a specific bare-metal host's configuration, so that I can see its topology and credentials.","GET /bare-metal/hosts/{id} returns full BareMetalHostResponse with SSH/BMC/IPMI creds and last discovery result.","bare_metal_hosts.py:get_host, bare_metal/host_service.py:BareMetalHostService.get_host","Validated","[staging] The defect was a doc overstatement, not a code bug: get_host returns BareMetalHostResponse with boolean credential-presence flags (has_bmc_credentials, has_ipmi_credentials, ssh/dpu credential ids) — security-correct — and the full discovery blob is served by the separate /discovery-result endpoint. Code matches the (corrected) behavior.","","2026-06-22 (staging 9e94854c)"
"FEAT-0038","Bare Metal Hosts","Get discovery result payload","As a viewer, I want to download the full discovery payload, so that I can inspect the probed topology.","GET /bare-metal/hosts/{id}/discovery-result returns full cached discovery output (BMCs, DPUs, VLAN probes) or 404.","bare_metal_hosts.py:get_discovery_result","Validated","get_discovery_result (bare_metal_hosts.py:147) returns host.last_discovery_result raw payload or raises NotFoundError (404) if never run.","","2026-06-22"
"FEAT-0039","Bare Metal Hosts","Get discovery results","As a viewer, I want to see the last discovery run status for a host, so that I can check if it succeeded.","GET /bare-metal/hosts/{id}/discovery returns BareMetalHostResponse with last_discovery_status and error.","bare_metal_hosts.py:get_discovery_results","Validated","get_discovery_results (bare_metal_hosts.py:135) returns BareMetalHostResponse including last_discovery_status and last_discovery_error.","","2026-06-22"
"FEAT-0040","Bare Metal Hosts","List bare-metal hosts","As a viewer, I want to see all registered bare-metal hosts in a project, so that I can browse available deployment targets.","GET /bare-metal/hosts returns list of BareMetalHost records with topology, network mode, discovery status.","bare_metal_hosts.py:list_hosts, bare_metal/host_service.py:BareMetalHostService.list_hosts","Validated","list_hosts (host_service.py:25) returns project hosts mapped to responses carrying topology, network_mode, and last_discovery_status.","","2026-06-22"
"FEAT-0041","Bare Metal Hosts","Trigger bare-metal discovery","As an operator, I want to probe a bare-metal host for BMC, DPU, and VLAN topology, so that I can discover its hardware.","POST /bare-metal/hosts/{id}/discover enqueues Celery task to run BMC+DPU+host probes in parallel.","bare_metal_hosts.py:trigger_discovery","Validated","[staging] run_discovery executes probes sequentially within one Celery task (probe_host, then probe_bmc, then probe_dpu, then probe_vlan); there is no parallel fan-out, contradicting the 'run BMC+DPU+host probes in parallel' claim. FIX: Either correct the documented behavior to 'sequential probes within one task', or refactor run_discovery to run the independent probes concurrently (e.g. ThreadPoolExecutor / Celery group) since dpu/vlan depend on host_result while bmc does not. | WO-4 #357 (doc): bare-metal discovery probes run sequentially within one Celery task.","","2026-06-22"
"FEAT-0042","Bare Metal Hosts","Update bare-metal host","As an operator, I want to modify a host's configuration (IPs, credentials, topology), so that I can reconfigure it.","PUT /bare-metal/hosts/{id} updates host_ip, network_mode, ssh/bmc credentials, and other fields.","bare_metal_hosts.py:update_host, bare_metal/host_service.py:BareMetalHostService.update_host","Validated","update_host (host_service.py:85) updates host_ip/network_mode and re-encrypts ssh/bmc/ipmi credentials via the field-to-encrypted-column map.","","2026-06-22"
"FEAT-0043","Bare Metal Version Profiles","Get version profile by ID","As a viewer, I want to inspect a specific version profile's compatibility requirements, so that I can validate a deployment.","GET /bare-metal/version-profiles/{id} returns BnkVersionProfileResponse with kernel, DOCA, BFB versions.","bare_metal_version_profiles.py:get_version_profile, bare_metal/version_profiles.py:BnkVersionProfileService.get_profile","Validated","get_version_profile route delegates to BnkVersionProfileService.get_profile returning BnkVersionProfileResponse with kernel/DOCA/BFB version fields.","","2026-06-22"
"FEAT-0044","Bare Metal Version Profiles","List version profiles","As a viewer, I want to see all BNK version profiles (DPU OS + host kernel compatibility), so that I can choose one.","GET /bare-metal/version-profiles returns list of BnkVersionProfile with version matrix and compatibility notes.","bare_metal_version_profiles.py:list_version_profiles, bare_metal/version_profiles.py:BnkVersionProfileService.list_profiles","Validated","list_version_profiles (bare_metal_version_profiles.py:21) returns the version-matrix profile list via BnkVersionProfileService.list_profiles.","","2026-06-22"
"FEAT-0045","Benchmarks","Compare Benchmark Runs","As a performance analyst, I want to compare multiple benchmark runs side-by-side to evaluate proxy performance differences.","POST /api/benchmarks/compare takes run_ids array; returns normalized metrics comparison (latency, throughput, success rate) across runs.","benchmarks.py:compare_benchmark_runs, benchmark_service.py:compare_runs","Validated","benchmarks.py:compare_benchmark_runs -> benchmark_service.compare_runs takes run_ids and returns normalized cross-run metric comparison.","","2026-06-22"
"FEAT-0046","Benchmarks","Deploy Proxies to Cluster","As a benchmark operator, I want to deploy a proxy (envoy, nginx, haproxy) to a K8s cluster via Helm, so that I can route traffic through it.","POST /api/benchmarks/targets/{id}/proxies creates ProxyDeployment record (status=pending), dispatches Celery Helm install task, returns celery_task_id; frontend polls for status updates.","benchmarks.py:deploy_proxy, benchmark_target_service.py:deploy_proxy","Validated","benchmarks.py:deploy_proxy creates ProxyDeployment (pending), dispatches deploy_proxy_task.delay, stores celery_task_id for polling.","","2026-06-22"
"FEAT-0047","Benchmarks","Discover Benchmark Targets on Cluster","As a benchmark operator, I want to auto-discover LLM inference services on a K8s cluster, so that I can quickly create benchmark targets.","POST /api/benchmarks/discover-targets scans cluster for vLLM, TGI, LiteLLM, Ollama services by labels/ports/images; auto-creates BenchmarkTarget records; optionally runs proxy discovery.","benchmarks.py:discover_targets, target_discovery_service.py:discover_targets","Validated","benchmarks.py:discover_targets -> target_discovery_service.discover_targets scans cluster for LLM services, auto-creates targets and optionally runs proxy discovery.","","2026-06-22"
"FEAT-0048","Benchmarks","Discover Proxies on Cluster","As a benchmark operator, I want to scan a cluster for existing proxies (envoy, nginx, haproxy, f5-bnk, nodeport), so that I can use them for testing.","POST /api/benchmarks/targets/{id}/discover-proxies discovers all proxy types in parallel; auto-creates ProxyDeployment records with status=discovered for found proxies.","benchmarks.py:discover_proxies, proxy_discovery_service.py:discover_all","Validated","benchmarks.py:discover_proxies -> proxy_discovery_service.discover_all scans proxy types and auto-creates ProxyDeployment status=discovered.","","2026-06-22"
"FEAT-0049","Benchmarks","Ingest Benchmark Results","As a test engineer, I want to push load test results from aiperf CLI into Forge, so that results are centralized and comparable.","POST /api/benchmarks/results ingests canonical BenchmarkResult JSON; POST /api/benchmarks/results/aiperf accepts raw aiperf export with optional query params (proxy, model, url, agent_name, run_label); stores denormalized metrics.","benchmarks.py:ingest_benchmark_result/ingest_aiperf_result, benchmark_service.py:ingest_result/ingest_aiperf_result","Validated","benchmarks.py:ingest_benchmark_result and ingest_aiperf_result (with proxy/model/url/agent_name/run_label query params) store denormalized metrics via benchmark_service.","","2026-06-22"
"FEAT-0050","Benchmarks","Manage Benchmark Runs","As a test engineer, I want to list, view, create, and cancel benchmark runs, so that I can orchestrate load tests.","GET/POST /api/benchmarks/runs lists runs with filters (proxy, tool, model, status); POST creates new run; GET /{run_id} includes full result_json; POST /{run_id}/cancel stops running tests; DELETE removes run data.","benchmarks.py:list_benchmark_runs/create_benchmark_run/get_benchmark_run/cancel_benchmark_run/delete_benchmark_run","Validated","benchmarks.py list/create/get/cancel/delete benchmark run endpoints all present with documented filters; get returns full result_json via BenchmarkRunDetailResponse.","","2026-06-22"
"FEAT-0051","Benchmarks","Manage Benchmark Targets","As a benchmark operator, I want to register K8s clusters and LLM endpoints as benchmark targets, so that proxies can route traffic to them.","GET/POST/PUT/DELETE /api/benchmarks/targets manages targets (cluster_id, llm_base_url, llm_model, llm_endpoint); POST /validate tests connectivity and updates status.","benchmarks.py:list_benchmark_targets/get_benchmark_target/create_benchmark_target/update_benchmark_target/delete_benchmark_target/validate_benchmark_target","Validated","benchmarks.py full target CRUD plus validate_benchmark_target that tests connectivity and updates status.","","2026-06-22"
"FEAT-0052","Benchmarks","Poll Proxy Deployment Status","As a dashboard client, I want to poll the status of a proxy deploy/undeploy operation, so that I can show real-time progress.","GET /api/benchmarks/targets/{id}/proxies/{proxy_id}/task-status returns ProxyDeployment with status (pending/deploying/ready/uninstalled/failed), proxy_url, celery_task_id, and Celery state.","benchmarks.py:get_proxy_task_status","Validated","benchmarks.py:get_proxy_task_status returns ProxyDeployment status/proxy_url/celery_task_id and the live Celery AsyncResult state.","","2026-06-22"
"FEAT-0053","Benchmarks","Redeploy Proxies","As a benchmark operator, I want to redeploy a proxy after configuration changes, so that new settings take effect.","POST /api/benchmarks/targets/{id}/proxies/{proxy_id}/redeploy resets status to pending, dispatches new Helm install task.","benchmarks.py:redeploy_proxy, benchmark_target_service.py:redeploy_proxy","Validated","benchmarks.py:redeploy_proxy resets status to pending via service then dispatches fresh deploy_proxy_task.","","2026-06-22"
"FEAT-0054","Benchmarks","Register Test Client Agents","As a test infrastructure owner, I want to register test client machines (aiperf instances) and track their connectivity status.","POST /api/benchmarks/agents registers agent by name; GET /api/benchmarks/agents lists agents with status (connected/disconnected/running); agents connect via WebSocket to receive commands.","benchmarks.py:register_benchmark_agent/list_benchmark_agents/get_benchmark_agent/delete_benchmark_agent","Validated","benchmarks.py register/list/get/delete agent endpoints present; agents connect via /ws/benchmarks/agents/{id} which flips status connected/running/disconnected.","","2026-06-22"
"FEAT-0055","Benchmarks","Save Benchmark Configurations","As a test engineer, I want to save and reuse benchmark run configurations, so that I can standardize test parameters across runs.","GET/POST/PUT/DELETE /api/benchmarks/configs manage saved RunConfig presets; config_json field contains full aiperf CLI parameters.","benchmarks.py:list_benchmark_configs/get_benchmark_config/create_benchmark_config/update_benchmark_config/delete_benchmark_config","Validated","benchmarks.py config CRUD endpoints manage RunConfig presets; config_json holds full aiperf parameters.","","2026-06-22"
"FEAT-0056","Benchmarks","Trigger Benchmark Run Against Deployed Proxy","As a performance analyst, I want to trigger a load test against a deployed proxy, so that I can measure its performance.","POST /api/benchmarks/targets/{id}/proxies/{proxy_id}/run validates proxy ready status, resolves agent, builds RunConfig from target info, creates BenchmarkRun, sends command to agent via WebSocket.","benchmarks.py:trigger_benchmark_run","Validated","benchmarks.py:trigger_benchmark_run validates proxy ready/discovered, resolves agent, builds config_json from target, creates BenchmarkRun, sends run command via send_command_to_agent WebSocket.","","2026-06-22"
"FEAT-0057","Benchmarks","Undeploy Proxies from Cluster","As a benchmark operator, I want to remove a deployed proxy via Helm uninstall, so that I can clean up after testing.","DELETE /api/benchmarks/targets/{id}/proxies/{proxy_id} (202 Accepted) dispatches async Helm uninstall task; if proxy never deployed, deletes record immediately.","benchmarks.py:delete_proxy_deployment","Validated","benchmarks.py:delete_proxy_deployment returns 202 and dispatches undeploy_proxy_task; deletes record immediately when status pending/uninstalled (never-deployed).","","2026-06-22"
"FEAT-0058","Benchmarks","View Benchmark Summary","As a dashboard viewer, I want to see aggregate benchmark metrics and recent activity summary.","GET /api/benchmarks/summary returns total runs, agents, targets; breakdown by proxy type, model; recent activity counts; uptime stats.","benchmarks.py:get_benchmark_summary, benchmark_service.py:get_summary","Validated","[staging] get_summary returns total/completed/failed/running runs, avg metrics, last_run, runs_last_7d, runs_by_proxy and runs_by_tool. It still omits agents count, targets count, model breakdown and uptime stats; the breakdown is by tool, not by model. FIX: Add agents-count and targets-count aggregations, a model breakdown (group_by on the model column), and uptime stats; rename/add a runs_by_model block, and update the response schema and openapi types. | WO-4 #357 (doc): benchmark summary breaks down by proxy/tool with recent-activity counts; agents/targets/model/uptime are out of scope.","","2026-06-22"
"FEAT-0059","Benchmarks","WebSocket: Agent Connections","As a test agent, I want to connect via WebSocket to receive run commands and send progress updates, so that Forge can coordinate tests.","WS /ws/benchmarks/agents/{agent_id} accepts agent connections; agents send heartbeat/progress/run_completed/run_failed; Forge sends run/cancel/status/ping commands.","benchmarks.py:agent_websocket/send_command_to_agent","Validated","benchmarks.py:agent_websocket accepts agents, handles heartbeat/progress/run_completed/run_failed; send_command_to_agent delivers run/cancel/status/ping commands down the connection.","","2026-06-22"
